Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%
ER-034.stp,109.0,111.0,110.4,29534.009,30991.217,30040.584,15.38,8.26,11.74
ER-035.stp,84.0,87.0,85.9,17103.401,17797.488,17504.31,11.46,3.33,7.39
ER-036.stp,80.0,82.0,81.1,23538.345,24125.381,23749.333,12.9,5.75,9.04
ER-037.stp,404.0,407.0,406.0,20842.844,21885.728,21216.884,16.15,7.5,10.6
ER-038.stp,225.0,227.0,225.7,23124.126,24151.157,23675.742,12.06,5.44,9.71
ER-039.stp,188.0,190.0,189.1,27990.09,29979.995,29321.26,10.9,4.04,7.18
ER-040.stp,161.0,163.0,161.6,46693.488,48272.67,47319.412,16.15,2.98,11.39
ER-041.stp,138.0,140.0,139.8,30805.179,31287.639,31011.476,8.5,4.76,6.16
ER-042.stp,103.0,104.0,103.6,27895.068,28553.197,28269.929,9.65,1.89,5.76
ER-043.stp,113.0,115.0,113.8,46695.724,49412.896,48187.668,14.39,10.24,12.24
ER-044.stp,94.0,96.0,95.0,39473.192,40739.923,39977.268,12.96,4.0,8.32
ER-045.stp,102.0,104.0,102.8,43347.522,44511.232,43983.963,10.53,4.63,7.43
ER-046.stp,405.0,409.0,406.6,30604.901,32559.303,31332.29,9.4,2.39,4.38
ER-047.stp,284.0,288.0,286.7,53094.588,55923.542,54275.076,9.18,2.37,5.1
ER-048.stp,189.0,195.0,192.6,62722.547,65303.916,63940.129,13.39,3.98,9.47
ER-049.stp,159.0,160.0,159.5,77695.937,79757.961,78563.377,13.98,6.47,9.22
ER-050.stp,144.0,147.0,145.7,74013.074,76666.456,75530.32,14.71,6.41,9.71
ER-051.stp,116.0,118.0,116.9,64889.698,67092.798,65813.811,10.0,5.65,7.13
ER-052.stp,115.0,116.0,115.6,73179.684,76218.912,74419.546,14.18,7.26,11.38
ER-053.stp,108.0,110.0,109.1,77207.728,80731.31,79186.706,14.84,7.63,11.73
ER-054.stp,109.0,113.0,111.1,67591.557,69681.407,68821.739,14.17,4.27,9.15
ER-055.stp,468.0,471.0,469.4,62008.354,64079.722,62925.602,10.31,2.9,7.12
ER-056.stp,256.0,259.0,257.5,82953.76,85771.22,84375.531,10.14,4.46,7.51
ER-057.stp,200.0,203.0,201.3,104550.307,108750.849,106036.88,12.23,4.69,9.02
ER-058.stp,162.0,164.0,162.7,110806.251,115809.906,113824.859,14.21,7.39,10.11
ER-059.stp,135.0,137.0,136.5,97105.854,99751.37,98294.775,12.26,4.86,7.98
ER-060.stp,138.0,141.0,139.6,130328.018,135154.44,131876.405,13.21,7.95,10.42
ER-061.stp,127.0,130.0,128.5,95161.49,98535.683,96964.22,8.57,4.41,6.73
ER-062.stp,108.0,110.0,108.9,131941.852,137167.623,134682.837,15.5,9.17,13.04
ER-063.stp,122.0,126.0,124.1,122553.076,126497.773,124736.204,12.86,3.08,9.95
ER-064.stp,418.0,423.0,420.4,100254.299,106189.472,102795.499,9.52,6.26,7.41
ER-065.stp,245.0,249.0,247.4,122865.176,128290.417,126572.697,12.37,4.6,8.45
ER-066.stp,215.0,218.0,216.4,145192.824,150648.959,147993.37,10.0,5.68,7.18
ER-067.stp,176.0,178.0,176.9,168957.351,174566.936,171545.605,12.44,5.35,8.02
