Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%,Runs_Completed
es20fst13.stp,34438673.0,34438673.0,34438673.0,281.128,293.598,284.994,2.86,0.22,0.61,10
es20fst14.stp,34062374.0,34062374.0,34062374.0,500.505,554.127,521.373,2.61,0.78,1.86,10
es20fst15.stp,32303746.0,32303746.0,32303746.0,434.516,441.54,437.124,0.96,0.0,0.37,10
es250fst01.stp,119101758.0,119966904.0,119621584.2857,446915.722,486600.415,463922.695,3.66,1.06,2.58,7
es250fst02.stp,117265954.0,117825035.0,117459699.8,589340.274,656802.313,614383.593,3.23,2.12,2.49,5
es250fst03.stp,117083562.0,117729124.0,117438710.7143,437279.035,488754.209,454429.196,3.97,1.38,2.35,7
es250fst04.stp,120997906.0,121608735.0,121271942.4,665617.484,759905.866,691679.318,3.31,1.45,2.44,5
es250fst05.stp,119895271.0,120662542.0,120326505.2,630057.855,671534.612,649240.709,3.67,2.31,3.0,5
es250fst06.stp,119355007.0,119878265.0,119738519.1667,489596.876,568702.082,521115.808,2.84,0.11,1.29,6
es250fst07.stp,117210109.0,118070879.0,117674927.4,610611.856,686943.797,649144.254,3.46,0.43,2.14,5
es250fst08.stp,119948583.0,120680735.0,120300038.6667,901997.851,948850.724,923204.675,3.06,2.05,2.7,3
es250fst09.stp,119250283.0,119851193.0,119566010.3333,567930.316,618898.471,592846.997,2.67,0.49,1.74,6
es250fst10.stp,119306480.0,119805515.0,119548867.4,655991.886,689534.261,672435.05,3.58,2.05,2.84,5
es250fst11.stp,114944181.0,115871176.0,115484194.2,668081.55,756333.806,695959.824,2.86,1.28,2.21,5
es250fst12.stp,122645038.0,123030452.0,122877654.6,617643.916,669238.317,648795.097,3.37,1.67,2.58,5
es250fst13.stp,118828717.0,119672222.0,119278872.5,687777.078,749430.362,727757.577,3.51,2.22,2.64,4
es250fst14.stp,120120082.0,120464177.0,120323429.0,709919.351,776197.984,732670.964,3.4,1.53,2.4,4
es250fst15.stp,118882464.0,119128874.0,119003147.0,813724.23,865535.719,847551.955,3.49,1.62,2.51,4
