Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%
ER-089.stp,142.0,146.0,144.0,471078.943,510787.042,485929.781,12.8,5.81,9.63
ER-090.stp,142.0,145.0,143.5,466608.234,493535.03,483153.169,13.94,5.88,9.82
ER-091.stp,504.0,509.0,506.6,332773.816,363496.898,342609.629,9.64,4.71,6.72
ER-092.stp,294.0,299.0,296.9,619783.768,656438.436,638755.896,11.01,6.31,8.06
ER-093.stp,250.0,252.0,251.0,750929.378,784762.632,770976.26,13.15,8.06,10.18
ER-094.stp,210.0,214.0,212.7,747439.391,774187.414,760158.049,15.14,6.96,11.33
ER-095.stp,187.0,188.0,187.4,714494.153,767956.866,738729.726,12.62,7.39,10.35
ER-096.stp,170.0,173.0,170.9,710218.7,753889.918,733015.988,13.07,9.04,11.61
ER-097.stp,157.0,161.0,159.5,700321.116,736954.001,723310.32,14.36,4.76,11.1
ER-098.stp,154.0,158.0,156.1,680989.057,719077.283,698003.102,18.42,10.98,14.14
ER-099.stp,147.0,149.0,147.7,586065.934,626719.236,604594.9,14.53,7.5,10.6
ER-100.stp,549.0,555.0,551.6,560456.036,598327.949,575940.797,9.85,6.09,8.24
ER-101.stp,345.0,350.0,347.3,710738.573,761844.978,732859.406,11.96,4.9,8.19
ER-102.stp,239.0,240.0,239.9,920028.891,973672.315,950275.305,13.98,8.75,11.11
ER-103.stp,214.0,217.0,215.4,853121.545,895946.248,876108.133,13.55,6.09,10.93
ER-104.stp,207.0,209.0,208.1,886301.041,954080.299,918001.06,10.78,4.57,7.01
ER-105.stp,185.0,188.0,185.8,791203.614,872435.923,841074.197,14.68,9.76,12.0
ER-106.stp,166.0,169.0,167.6,934040.462,986342.671,961445.244,15.23,8.65,11.84
ER-107.stp,165.0,169.0,167.3,986752.226,1049181.554,1009386.146,16.42,10.11,13.0
ER-108.stp,158.0,160.0,158.6,776608.183,802125.795,789033.394,13.19,8.14,10.82
ER-109.stp,552.0,558.0,555.6,757291.893,811569.996,794768.119,12.42,5.59,8.48
ER-110.stp,339.0,343.0,341.8,868947.897,917602.467,896318.726,9.5,4.99,6.87
ER-111.stp,256.0,260.0,258.2,947527.291,1005710.083,970707.523,10.76,6.5,8.75
ER-112.stp,232.0,236.0,233.8,1029399.537,1081444.396,1054037.953,11.79,7.48,9.16
ER-113.stp,210.0,213.0,211.7,1232857.97,1296576.852,1263610.526,14.17,6.64,11.11
ER-114.stp,187.0,189.0,188.0,1195519.749,1250370.299,1225425.966,11.32,6.44,9.47
ER-115.stp,178.0,183.0,181.2,1261134.591,1341315.397,1301307.325,12.62,7.18,10.67
ER-116.stp,174.0,177.0,175.5,1223898.789,1330407.792,1287672.807,15.12,8.33,12.41
ER-117.stp,176.0,178.0,177.1,1101559.787,1149786.594,1128381.588,13.17,7.33,9.78
ER-118.stp,513.0,519.0,516.2,846845.081,953899.816,894020.765,9.67,7.0,7.95
ER-119.stp,336.0,344.0,339.3,1165721.753,1237465.678,1206715.656,10.29,5.03,8.2
ER-120.stp,276.0,280.0,278.7,1196900.495,1292694.424,1258682.745,10.54,5.08,7.38
ER-121.stp,243.0,245.0,244.0,1379442.348,1501381.266,1431262.007,15.92,9.59,13.15
ER-122.stp,216.0,219.0,217.4,1339417.5,1477443.593,1403868.077,11.07,5.22,8.7
ER-123.stp,194.0,201.0,198.4,1458618.412,1544160.304,1490509.856,15.88,8.64,11.94
ER-124.stp,181.0,185.0,183.8,1463689.905,1542066.332,1510911.933,16.36,10.78,13.39
ER-125.stp,192.0,196.0,193.6,1660484.361,1739177.27,1694953.427,17.8,11.31,14.1
ER-126.stp,183.0,185.0,184.0,1550550.158,1667469.542,1597637.402,17.86,10.19,13.27
ER-127.stp,575.0,580.0,577.7,1086704.801,1193383.422,1142561.21,8.66,4.64,6.66
ER-128.stp,376.0,380.0,378.0,1368651.864,1552793.313,1451848.233,9.76,5.96,7.79
ER-129.stp,281.0,286.0,283.7,1684116.989,1808957.293,1753698.439,14.71,8.44,10.61
ER-130.stp,236.0,240.0,237.6,1735153.853,1868299.455,1808353.863,13.87,6.67,10.66
ER-131.stp,211.0,215.0,213.8,1743515.77,1845279.838,1808750.146,14.57,6.93,10.58
ER-132.stp,210.0,212.0,211.0,1942122.322,2015036.169,1980371.844,17.0,8.23,12.55
ER-133.stp,200.0,202.0,201.4,1895443.644,2013999.515,1960002.686,18.03,9.82,12.04
ER-134.stp,193.0,197.0,195.8,2003317.518,2100311.163,2049475.346,18.6,10.09,14.21
ER-135.stp,189.0,193.0,191.4,1906063.012,2023984.635,1979845.242,16.96,10.28,12.69
ER-136.stp,550.0,557.0,554.0,1358524.377,1459353.757,1393676.443,10.66,5.15,7.26
ER-137.stp,357.0,361.0,359.3,1725342.056,1840265.332,1778472.732,11.11,5.25,8.2
ER-138.stp,296.0,301.0,299.0,1888034.158,2034110.185,1970591.235,13.79,8.07,10.64
ER-139.stp,255.0,259.0,257.7,1931130.545,2088553.605,2017919.984,13.13,7.17,9.68
ER-140.stp,232.0,236.0,234.1,2141068.067,2292656.309,2241164.947,13.7,10.27,11.72
ER-141.stp,225.0,228.0,226.6,2428687.605,2556779.698,2489814.764,15.09,7.69,12.23
ER-142.stp,212.0,215.0,213.5,2470159.234,2571206.588,2542682.15,16.99,9.7,13.06
ER-143.stp,208.0,215.0,211.6,1937083.417,2029088.233,1975078.286,15.32,10.46,12.37
ER-144.stp,198.0,202.0,199.5,2299227.144,2404411.193,2351328.849,11.61,9.01,10.61
ER-145.stp,563.0,568.0,565.1,1470891.601,1623231.655,1565663.512,7.54,4.88,6.42
ER-146.stp,380.0,384.0,382.1,1801471.795,1941655.924,1857447.708,9.48,4.74,7.28
ER-147.stp,298.0,301.0,299.2,2497523.329,2773114.637,2668486.762,13.04,7.38,10.24
ER-148.stp,266.0,269.0,267.1,2767013.13,2927213.049,2808637.433,16.35,8.84,12.16
ER-149.stp,248.0,251.0,249.8,3048997.419,3168266.981,3119426.83,17.33,10.99,14.63
ER-150.stp,226.0,230.0,228.8,2916778.621,3052139.821,3004679.51,17.82,11.92,15.15
ER-151.stp,210.0,215.0,212.9,2951399.423,3073870.632,3001581.196,18.01,10.83,14.79
ER-152.stp,216.0,224.0,221.4,2850977.63,2964039.74,2907468.323,14.67,11.11,12.93
ER-153.stp,204.0,212.0,207.3,2685999.12,2845606.117,2774170.493,15.23,11.86,13.4
ER-154.stp,563.0,573.0,570.6,1750987.085,1896765.79,1801027.402,9.19,4.34,7.01
ER-155.stp,388.0,394.0,391.4,2601269.837,2846743.978,2692834.314,13.25,8.0,10.03
ER-156.stp,292.0,297.0,294.0,2511693.223,2689107.56,2582355.675,15.27,6.96,9.82
